date;DSP;length;source;isrc;track_artist;track_name;album_title;cpline;album_release_date;days_since_release;streams
2026-02-11;UMA;0-5 сек;Карточка артиста;RUAGW2511177;rompy;//mаsка (prod. chs, rompy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Другое;RUAGW2511177;rompy;//mаsка (prod. chs, rompy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Медиатека;RUAGW2511177;rompy;//mаsка (prod. chs, rompy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;2
2026-02-11;UMA;0-5 сек;Рекомендации;RUAGW2511178;rompy;//cry_0n_me (prod. chs, waysizz);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;6-29 сек;Альбом;RUAGW2511178;rompy;//cry_0n_me (prod. chs, waysizz);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;6-29 сек;Карточка артиста;RUAGW2511178;rompy;//cry_0n_me (prod. chs, waysizz);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Альбом;RUAGW2511178;rompy;//cry_0n_me (prod. chs, waysizz);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;0-5 сек;Другое;RUAGW2511178;rompy;//cry_0n_me (prod. chs, waysizz);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;0-5 сек;Медиатека;RUAGW2511179;rompy;//оjоги (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;2
2026-02-11;UMA;6-29 сек;Карточка артиста;RUAGW2511179;rompy;//оjоги (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;0-5 сек;Другое;RUAGW2511179;rompy;//оjоги (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Альбом;RUAGW2511179;rompy;//оjоги (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;2
2026-02-11;UMA;Полный стрим;Медиатека;RUAGW2511179;rompy;//оjоги (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;3
2026-02-11;UMA;Полный стрим;Популярное;RUAGW2511180;rompy & keijo!;//лast_пartи;"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Альбом;RUAGW2511180;rompy & keijo!;//лast_пartи;"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;6
2026-02-11;UMA;Полный стрим;Другое;RUAGW2511180;rompy & keijo!;//лast_пartи;"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;6
2026-02-11;UMA;0-5 сек;Другое;RUAGW2511180;rompy & keijo!;//лast_пartи;"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;0-5 сек;Карточка артиста;RUAGW2511181;rompy;//пнеvмония (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Другое;RUAGW2511182;rompy;//bэд_коmпanи (prod. nielyoung);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;2
2026-02-11;UMA;0-5 сек;Альбом;RUAGW2511183;rompy;//дemoния (prod. xtraacid, chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Альбом;RUAGW2511183;rompy;//дemoния (prod. xtraacid, chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;3
2026-02-11;UMA;0-5 сек;Рекомендации;RUAGW2511184;rompy;//лонdон (prod. degsterr & shrpboyyy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Медиатека;RUAGW2511184;rompy;//лонdон (prod. degsterr & shrpboyyy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;6-29 сек;Медиатека;RUAGW2511184;rompy;//лонdон (prod. degsterr & shrpboyyy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;2
2026-02-11;UMA;Полный стрим;Другое;RUAGW2511184;rompy;//лонdон (prod. degsterr & shrpboyyy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Другое;RUAGW2511185;rompy;//turnitup (prod. whysme, reallysowdy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;3
2026-02-11;UMA;0-5 сек;Карточка артиста;RUAGW2511185;rompy;//turnitup (prod. whysme, reallysowdy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;0-5 сек;Другое;RUAGW2511186;rompy;//g0rekи (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;0-5 сек;Альбом;RUAGW2511186;rompy;//g0rekи (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;0-5 сек;Карточка артиста;RUAGW2511186;rompy;//g0rekи (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Альбом;RUAGW2511186;rompy;//g0rekи (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Другое;RUAGW2511187;rompy;//bоль (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;0-5 сек;Другое;RUAGW2511187;rompy;//bоль (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Рекомендации;RUAGW2511187;rompy;//bоль (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Альбом;RUAGW2511177;rompy;//mаsка (prod. chs, rompy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;2
2026-02-11;UMA;Полный стрим;Другое;RUAGW2511178;rompy;//cry_0n_me (prod. chs, waysizz);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;6
2026-02-11;UMA;Полный стрим;Другое;RUAGW2511179;rompy;//оjоги (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;7
2026-02-11;UMA;Полный стрим;Медиатека;RUAGW2511180;rompy & keijo!;//лast_пartи;"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;6
2026-02-11;UMA;Полный стрим;Другое;RUAGW2511181;rompy;//пнеvмония (prod. chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;0-5 сек;Карточка артиста;RUAGW2511182;rompy;//bэд_коmпanи (prod. nielyoung);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;1
2026-02-11;UMA;Полный стрим;Другое;RUAGW2511183;rompy;//дemoния (prod. xtraacid, chs);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;68;3
2026-02-11;UMA;Полный стрим;Другое;RUAGW2600602;СКАЯ;космос (prod.by XSTASY & perlashes);СКАЯ - космос;℗ 2026 ROSSEL 66;2026-01-30;12;1
2026-02-11;UMA;0-5 сек;Другое;RUAGW2600602;СКАЯ;космос (prod.by XSTASY & perlashes);СКАЯ - космос;℗ 2026 ROSSEL 66;2026-01-30;12;2
2026-02-11;UMA;Платный стрим (30+ сек);Поиск;RUAGW2600602;СКАЯ;космос (prod.by XSTASY & perlashes);СКАЯ - космос;℗ 2026 ROSSEL 66;2026-01-30;12;1
2026-02-11;UMA;6-29 сек;Другое;RUAGW2600602;СКАЯ;космос (prod.by XSTASY & perlashes);СКАЯ - космос;℗ 2026 ROSSEL 66;2026-01-30;12;2
2026-02-11;UMA;6-29 сек;Другое;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;23
2026-02-11;UMA;Полный стрим;Медиатека;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;27
2026-02-11;UMA;Полный стрим;Другое;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;41
2026-02-11;UMA;0-5 сек;Карточка артиста;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;2
2026-02-11;UMA;0-5 сек;Другое;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;15
2026-02-11;UMA;Платный стрим (30+ сек);Популярное;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;1
2026-02-11;UMA;6-29 сек;Альбом;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;3
2026-02-11;UMA;Полный стрим;Рекомендации;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;1
2026-02-11;UMA;6-29 сек;Рекомендации;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;5
2026-02-11;UMA;6-29 сек;Карточка артиста;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;1
2026-02-11;UMA;Платный стрим (30+ сек);Рекомендации;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;2
2026-02-11;UMA;Полный стрим;Карточка артиста;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;1
2026-02-11;UMA;Полный стрим;Популярное;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;3
2026-02-11;UMA;Платный стрим (30+ сек);Медиатека;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;5
2026-02-11;UMA;0-5 сек;Медиатека;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;1
2026-02-11;UMA;Полный стрим;Альбом;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;19;20
