title_artist;url;playlist_name;parsed_date;track_position;DSP;release_date;cpline;album_title;label;isrc;licensee
sadaround - Not Broken;https://boom.ru/redirect/playlist/vk-147845620_2876;Атмосферная электроника;2026-01-25;60;vk;2025-12-26;℗ 2025 ROSSEL 66;sadaround - Not Broken;Koala Music;RUAGW2511663;ИП Латынин Максим Русланович
Makishima - Bounce;https://music.yandex.ru/users/yamusic-new/playlists/1012;Хроника электроника;2026-01-25;125;yandex;2026-01-23;℗ 2026 ROSSEL 66;Makishima - Bounce;Koala Music;RUAGW2600604;ИП Латынин Максим Русланович
sadaround - Not Broken;https://boom.ru/redirect/playlist/vk-147845620_2206;Электроника: новинки;2026-01-25;98;vk;2025-12-26;℗ 2025 ROSSEL 66;sadaround - Not Broken;Koala Music;RUAGW2511663;ИП Латынин Максим Русланович
