date;DSP;length;source;isrc;track_artist;track_name;album_title;cpline;album_release_date;days_since_release;streams
2026-02-04;UMA;0-5 сек;Другое;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;1
2026-02-04;UMA;6-29 сек;Поиск;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;1
2026-02-04;UMA;Платный стрим (30+ сек);Другое;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;2
2026-02-04;UMA;Полный стрим;Рекомендации;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;1
2026-02-04;КИОН Музыка;Полный стрим;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;1
2026-02-04;Яндекс Музыка;6-29 сек;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;8
2026-02-04;Яндекс Музыка;Платный стрим (30+ сек);Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;2
2026-02-04;UMA;6-29 сек;Другое;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;1
2026-02-04;Яндекс Музыка;Платный стрим (30+ сек);Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;5
2026-02-04;UMA;Полный стрим;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;2
2026-02-04;Яндекс Музыка;Полный стрим;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;59
2026-02-04;Яндекс Музыка;0-5 сек;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;4
2026-02-04;Яндекс Музыка;Полный стрим;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;29
2026-02-04;UMA;Платный стрим (30+ сек);Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;1
2026-02-04;UMA;Полный стрим;Другое;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;6
2026-02-04;Яндекс Музыка;Полный стрим;Поиск;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;1
2026-02-04;UMA;Полный стрим;Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;4
2026-02-04;Яндекс Музыка;6-29 сек;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;8
2026-02-04;КИОН Музыка;Полный стрим;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;1
2026-02-04;Яндекс Музыка;0-5 сек;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;25
2026-02-04;Яндекс Музыка;Полный стрим;Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;3
2026-02-04;UMA;6-29 сек;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;1
2026-02-04;Яндекс Музыка;Платный стрим (30+ сек);Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;7
2026-02-04;Яндекс Музыка;Полный стрим;Плейлисты;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;117;1
2026-02-04;КИОН Музыка;Полный стрим;Медиатека;RUAGW2511184;rompy;//лонdон (prod. degsterr & shrpboyyy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;61;1
2026-02-04;UMA;Полный стрим;Медиатека;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;12;7
2026-02-04;Яндекс Музыка;6-29 сек;Плейлисты;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;12;4
2026-02-04;Яндекс Музыка;Полный стрим;Моя Волна;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;12;119
