title_artist;url;playlist_name;parsed_date;track_position;DSP;release_date;cpline;album_title;label;isrc;licensee
PLVT - stars;https://music.yandex.ru/users/yandexmusic/playlists/1216;Вечеринка под парусом;2025-12-14;115;yandex;2025-06-18;℗ 2025 ROSSEL 66;PLVT - stars;Koala Music;RUA1D2587886;ИП Латынин Максим Русланович
0XR - CHROME TEARS;https://music.yandex.ru/users/yamusic-new/playlists/1012;Хроника электроника;2025-12-14;151;yandex;2025-12-12;℗ 2025 ROSSEL 66;0XR - CHROME TEARS;Koala Music;RUAGW2511320;ИП Латынин Максим Русланович
