date;DSP;length;source;isrc;track_artist;track_name;album_title;cpline;album_release_date;days_since_release;streams
2026-02-09;КИОН Музыка;Полный стрим;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;1
2026-02-09;Яндекс Музыка;0-5 сек;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;16
2026-02-09;Яндекс Музыка;0-5 сек;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;13
2026-02-09;Яндекс Музыка;6-29 сек;Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;2
2026-02-09;Яндекс Музыка;6-29 сек;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;6
2026-02-09;Яндекс Музыка;6-29 сек;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;8
2026-02-09;Яндекс Музыка;Платный стрим (30+ сек);Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;2
2026-02-09;Яндекс Музыка;Платный стрим (30+ сек);Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;8
2026-02-09;Яндекс Музыка;Платный стрим (30+ сек);Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;5
2026-02-09;Яндекс Музыка;Полный стрим;Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;2
2026-02-09;Яндекс Музыка;Полный стрим;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;19
2026-02-09;Яндекс Музыка;Полный стрим;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;27
2026-02-09;КИОН Музыка;Полный стрим;Моя Волна;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;2
2026-02-09;Яндекс Музыка;0-5 сек;Альбом;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;3
2026-02-09;Яндекс Музыка;0-5 сек;Медиатека;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;20
2026-02-09;Яндекс Музыка;0-5 сек;Моя Волна;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;47
2026-02-09;Яндекс Музыка;6-29 сек;Альбом;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;2
2026-02-09;Яндекс Музыка;6-29 сек;Медиатека;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;21
2026-02-09;Яндекс Музыка;6-29 сек;Моя Волна;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;42
2026-02-09;Яндекс Музыка;6-29 сек;Поиск;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;1
2026-02-09;Яндекс Музыка;Платный стрим (30+ сек);Альбом;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;3
2026-02-09;Яндекс Музыка;Платный стрим (30+ сек);Медиатека;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;21
2026-02-09;Яндекс Музыка;Платный стрим (30+ сек);Моя Волна;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;15
2026-02-09;Яндекс Музыка;Полный стрим;Альбом;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;4
2026-02-09;Яндекс Музыка;Полный стрим;Медиатека;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;121
2026-02-09;Яндекс Музыка;Полный стрим;Моя Волна;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;90
2026-02-09;Яндекс Музыка;Полный стрим;Поиск;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;122;1
2026-02-09;Яндекс Музыка;0-5 сек;Медиатека;DGA052570096;0XR;SOULFLARE;0XR - SOULFLARE;℗ 2025 ROSSEL 66;2025-10-03;129;1
2026-02-09;Яндекс Музыка;0-5 сек;Моя Волна;DGA052570096;0XR;SOULFLARE;0XR - SOULFLARE;℗ 2025 ROSSEL 66;2025-10-03;129;6
2026-02-09;Яндекс Музыка;6-29 сек;Альбом;DGA052570096;0XR;SOULFLARE;0XR - SOULFLARE;℗ 2025 ROSSEL 66;2025-10-03;129;1
2026-02-09;Яндекс Музыка;6-29 сек;Моя Волна;DGA052570096;0XR;SOULFLARE;0XR - SOULFLARE;℗ 2025 ROSSEL 66;2025-10-03;129;2
2026-02-09;Яндекс Музыка;Платный стрим (30+ сек);Медиатека;DGA052570096;0XR;SOULFLARE;0XR - SOULFLARE;℗ 2025 ROSSEL 66;2025-10-03;129;1
2026-02-09;Яндекс Музыка;Платный стрим (30+ сек);Моя Волна;DGA052570096;0XR;SOULFLARE;0XR - SOULFLARE;℗ 2025 ROSSEL 66;2025-10-03;129;1
2026-02-09;Яндекс Музыка;Полный стрим;Медиатека;DGA052570096;0XR;SOULFLARE;0XR - SOULFLARE;℗ 2025 ROSSEL 66;2025-10-03;129;1
2026-02-09;Яндекс Музыка;Полный стрим;Моя Волна;DGA052570096;0XR;SOULFLARE;0XR - SOULFLARE;℗ 2025 ROSSEL 66;2025-10-03;129;7
