date;DSP;length;source;isrc;track_artist;track_name;album_title;cpline;album_release_date;days_since_release;streams
2026-02-06;Яндекс Музыка;Платный стрим (30+ сек);Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;7
2026-02-06;UMA;Платный стрим (30+ сек);Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;1
2026-02-06;UMA;Полный стрим;Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;2
2026-02-06;Яндекс Музыка;6-29 сек;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;2
2026-02-06;КИОН Музыка;Полный стрим;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;1
2026-02-06;Яндекс Музыка;Полный стрим;Плейлисты;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;2
2026-02-06;UMA;Полный стрим;Поиск;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;1
2026-02-06;UMA;Платный стрим (30+ сек);Другое;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;1
2026-02-06;КИОН Музыка;Полный стрим;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;1
2026-02-06;Яндекс Музыка;Полный стрим;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;41
2026-02-06;Яндекс Музыка;0-5 сек;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;19
2026-02-06;Яндекс Музыка;0-5 сек;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;12
2026-02-06;Яндекс Музыка;Полный стрим;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;38
2026-02-06;UMA;Полный стрим;Популярное;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;1
2026-02-06;Яндекс Музыка;Полный стрим;Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;2
2026-02-06;UMA;Полный стрим;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;1
2026-02-06;Яндекс Музыка;6-29 сек;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;4
2026-02-06;Яндекс Музыка;0-5 сек;Моя Волна;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;43
2026-02-06;КИОН Музыка;Полный стрим;Плейлисты;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;1
2026-02-06;Яндекс Музыка;Полный стрим;Альбом;DGA052569622;rompy;//M1NVT3;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;119;8
