date;DSP;length;source;isrc;track_artist;track_name;album_title;cpline;album_release_date;days_since_release;streams
2026-02-08;Яндекс Музыка;0-5 сек;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;8
2026-02-08;Яндекс Музыка;Полный стрим;Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;5
2026-02-08;UMA;Платный стрим (30+ сек);Другое;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;1
2026-02-08;Яндекс Музыка;Платный стрим (30+ сек);Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;5
2026-02-08;UMA;Полный стрим;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;1
2026-02-08;Яндекс Музыка;Полный стрим;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;28
2026-02-08;Яндекс Музыка;6-29 сек;Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;2
2026-02-08;UMA;0-5 сек;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;1
2026-02-08;Яндекс Музыка;0-5 сек;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;9
2026-02-08;КИОН Музыка;Полный стрим;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;1
2026-02-08;Яндекс Музыка;Платный стрим (30+ сек);Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;5
2026-02-08;UMA;0-5 сек;Рекомендации;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;1
2026-02-08;UMA;Платный стрим (30+ сек);Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;1
2026-02-08;UMA;Полный стрим;Другое;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;9
2026-02-08;Яндекс Музыка;6-29 сек;Медиатека;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;5
2026-02-08;UMA;Полный стрим;Популярное;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;1
2026-02-08;Яндекс Музыка;Полный стрим;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;23
2026-02-08;UMA;0-5 сек;Другое;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;2
2026-02-08;UMA;Полный стрим;Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;5
2026-02-08;Яндекс Музыка;6-29 сек;Моя Волна;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;5
2026-02-08;Яндекс Музыка;Платный стрим (30+ сек);Альбом;DGA052569621;rompy;//B0G4;rompy - //RAC1DAT1ON;℗ 2025 ROSSEL 66;2025-10-10;121;3
2026-02-08;UMA;Полный стрим;Карточка артиста;RUAGW2511184;rompy;//лонdон (prod. degsterr & shrpboyyy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;65;1
2026-02-08;UMA;0-5 сек;Альбом;RUAGW2511184;rompy;//лонdон (prod. degsterr & shrpboyyy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;65;1
2026-02-08;Яндекс Музыка;Полный стрим;Плейлисты;RUAGW2511184;rompy;//лонdон (prod. degsterr & shrpboyyy);"rompy;keijo! - //outlaw";℗ 2025 ROSSEL 66;2025-12-05;65;1
2026-02-08;UMA;Полный стрим;Популярное;FRX872531473;DRUGPY & rompy;DIOR;"Drugpy;rompy - CR3SCENT";℗ 2025 ROSSEL 66;2025-08-22;170;1
2026-02-08;Яндекс Музыка;Платный стрим (30+ сек);Моя Волна;FRX872531473;DRUGPY & rompy;DIOR;"Drugpy;rompy - CR3SCENT";℗ 2025 ROSSEL 66;2025-08-22;170;1
2026-02-08;Яндекс Музыка;Полный стрим;Медиатека;FRX872531473;DRUGPY & rompy;DIOR;"Drugpy;rompy - CR3SCENT";℗ 2025 ROSSEL 66;2025-08-22;170;1
