title_artist;url;playlist_name;parsed_date;track_position;DSP;release_date;cpline;album_title;label;isrc;licensee
sadaround - Not Broken;https://boom.ru/redirect/playlist/vk-147845620_2876;Атмосферная электроника;2026-02-03;75;vk;2025-12-26;℗ 2025 ROSSEL 66;sadaround - Not Broken;Koala Music;RUAGW2511663;ИП Латынин Максим Русланович
PLVT - stars;https://music.yandex.ru/users/yandexmusic/playlists/1216;Вечеринка под парусом;2026-02-03;115;yandex;2025-06-18;℗ 2025 ROSSEL 66;PLVT - stars;Koala Music;RUA1D2587886;ИП Латынин Максим Русланович
Makishima - Bounce;https://music.yandex.ru/users/music-blog/playlists/2542;За геймпадом;2026-02-03;20;yandex;2026-01-23;℗ 2026 ROSSEL 66;Makishima - Bounce;Koala Music;RUAGW2600604;ИП Латынин Максим Русланович
rompy - //M1NVT3;https://boom.ru/redirect/playlist/vk-147845620_2875;Новый русский рейв;2026-02-03;39;vk;2025-10-10;℗ 2025 ROSSEL 66;rompy - //RAC1DAT1ON;Koala Music;DGA052569622;ИП Латынин Максим Русланович
sadaround - Not Broken;https://music.yandex.ru/users/music-blog/playlists/2630;Русская электроника: открытия;2026-02-03;30;yandex;2025-12-26;℗ 2025 ROSSEL 66;sadaround - Not Broken;Koala Music;RUAGW2511663;ИП Латынин Максим Русланович
MEELBRN - FULL CLIP;https://music.yandex.ru/users/yandexmusic/playlists/1217;Чуть не проспали!;2026-02-03;86;yandex;2025-04-11;℗ 2025 ROSSEL 66;MEELBRN - FULL CLIP;Koala Music;FR96X2566422;ИП Латынин Максим Русланович
sadaround - Not Broken;https://boom.ru/redirect/playlist/vk-147845620_2206;Электроника: новинки;2026-02-03;136;vk;2025-12-26;℗ 2025 ROSSEL 66;sadaround - Not Broken;Koala Music;RUAGW2511663;ИП Латынин Максим Русланович
