title_artist;url;playlist_name;parsed_date;track_position;DSP;release_date;cpline;album_title;label;isrc;licensee
PLVT - stars;https://music.yandex.ru/users/yandexmusic/playlists/1216;Вечеринка под парусом;2025-12-09;115;yandex;2025-06-18;℗ 2025 ROSSEL 66;PLVT - stars;Koala Music;RUA1D2587886;ИП Латынин Максим Русланович
rompy - //mаsка (prod. chs, rompy);https://music.yandex.ru/users/yamusic-new/playlists/1000;Русский бит;2025-12-09;169;yandex;2025-12-05;℗ 2025 ROSSEL 66;"rompy;keijo! - //outlaw";Koala Music;RUAGW2511177;ИП Латынин Максим Русланович
