title_artist;url;playlist_name;parsed_date;track_position;DSP;release_date;cpline;album_title;label;isrc;licensee
sadaround - Not Broken;https://boom.ru/redirect/playlist/vk-147845620_2876;Атмосферная электроника;2026-01-26;60;vk;2025-12-26;℗ 2025 ROSSEL 66;sadaround - Not Broken;Koala Music;RUAGW2511663;ИП Латынин Максим Русланович
PLVT - stars;https://music.yandex.ru/users/yandexmusic/playlists/1216;Вечеринка под парусом;2026-01-26;115;yandex;2025-06-18;℗ 2025 ROSSEL 66;PLVT - stars;Koala Music;RUA1D2587886;ИП Латынин Максим Русланович
Makishima - Bounce;https://music.yandex.ru/users/music-blog/playlists/2542;За геймпадом;2026-01-26;9;yandex;2026-01-23;℗ 2026 ROSSEL 66;Makishima - Bounce;Koala Music;RUAGW2600604;ИП Латынин Максим Русланович
sadaround - Not Broken;https://music.yandex.ru/users/music-blog/playlists/2630;Русская электроника: открытия;2026-01-26;20;yandex;2025-12-26;℗ 2025 ROSSEL 66;sadaround - Not Broken;Koala Music;RUAGW2511663;ИП Латынин Максим Русланович
Makishima - Bounce;https://music.yandex.ru/users/yamusic-new/playlists/1012;Хроника электроника;2026-01-26;125;yandex;2026-01-23;℗ 2026 ROSSEL 66;Makishima - Bounce;Koala Music;RUAGW2600604;ИП Латынин Максим Русланович
sadaround - Not Broken;https://boom.ru/redirect/playlist/vk-147845620_2206;Электроника: новинки;2026-01-26;99;vk;2025-12-26;℗ 2025 ROSSEL 66;sadaround - Not Broken;Koala Music;RUAGW2511663;ИП Латынин Максим Русланович
